,author,times,average
2354,Wei Yuan ,2,11486204
2355,Jeff Garzik ,1,0
2356,Konrad Leszczynski ,2,4591837
2357,Maximilian Schneider ,4,1207704
2358,Wolfgang Grandegger ,1,0
2359,Basil Gunn ,1,0
2360,Naveen Kaje ,1,0
2361,Fenghua Yu ,4,2812388
2363,Nikita Eshkeev ,2,4243505
2365,Zygo Blaxell ,2,3640191
2366,Janusz Krzysztofik ,2,7336
2367,Matt Flax ,1,0
2368,Mika Båtsman ,1,0
2369,Lakhvich Dmitriy ,3,11631994
2370,Eugene Crosser ,20,1798679
2371,Vincent Palatin ,5,5539706
2372,Fabien Siron ,2,574466
2373,Arend van Spriel ,54,658724
2374,Wright Feng ,3,7
2375,Chris Brand ,10,152387
2376,Jie Qiu ,3,1768890
2377,Niklas SÃ¶derlund ,1,0
2378,Hendrik Brueckner ,24,1239993
2379,"Ocquidant, Sebastien ",1,0
2380,Libin Yang ,32,1100910
2381,Yunhong Jiang ,4,1
2382,Yang Zhang ,1,0
2383,Martin Habets ,3,9765704
2384,Rashmica Gupta ,19,973200
2385,Ying Xue ,16,2352413
2386,Philip Prindeville ,1,0
2387,Christopher Spinrath ,6,894038
2388,Valentin Raevsky ,1,0
2389,Liviu Dudau ,28,1248145
2390,Paul Bolle ,8,3878745
2391,Wan Zongshun ,7,3268537
2392,Kailang Yang ,12,3140723
2393,Rui Zhang ,1,0
2394,Tan Jui Nee ,1,0
2395,James Bottomley ,17,2086541
2396,"Su, Xuemin ",1,0
2397,Feng Tang ,3,15657396
2398,Hannes Frederic Sowa ,54,630295
2399,Greg Hackmann ,10,1319600
2400,Wei-Ning Huang ,7,4790220
2401,plr.vincent@gmail.com ,1,0
2402,Oscar ,1,0
2403,Bharata B Rao ,3,12099547
2404,Lars Ellenberg ,46,386828
2405,Roland Kammerer ,3,8703634
2406,Philipp Reisner ,9,2175908
2407,Jean-Michel Hautbois ,4,6828693
2408,Andres Rodriguez ,1,0
2409,Xiao Ni ,1,0
2410,Jérôme Glisse ,8,4320515
2411,Ruud Derwig ,2,30640496
2412,Ajit Pandey ,1,0
2413,Daniel van Gerpen ,1,0
2414,Junichi Nomura ,10,2591828
2415,Ankitprasad Sharma ,3,6898145
2416,Krzysztof Błaszkowski ,8,148793
2417,Armen Baloyan ,1,0
2418,Lina Iyer ,9,4442498
2419,Adriana Reus ,24,1367161
2420,"Markezana, William ",1,0
2421,Rajesh Bhagat ,8,2912620
2422,Juergen Borleis ,12,2808287
2423,Manuel Lauss ,6,4395561
2424,Pramod Kumar ,18,1158076
2425,Zi Shen Lim ,11,1879639
2426,Manfred Schlaegl ,5,7077841
2427,Chris Blake ,1,0
2428,Jayachandran C ,13,2125189
2429,Weongyo Jeong ,3,3204351
2430,Jianyu Zhan ,4,2706075
2431,Jean Guyomarc'h ,1,0
2432,Claudio Fontana ,1,0
2433,Robert P. J. Day ,3,16283653
2434,Marek Belisko ,11,3447683
2435,Jonghwa Lee ,3,15827431
2436,Beomho Seo ,2,32415407
2437,Alexander Yarygin ,6,1622272
2438,Shahar Klein ,1,0
2439,Eli Sennesh ,5,3674328
2440,Marti Bolivar ,5,13872296
2441,Eric Caruso ,2,20094294
2442,Zhaoxiu Zeng ,3,2201209
2443,Cong Wang ,4,9768445
2444,Damien Riegel ,36,441953
2445,Alessandro Radicati ,2,66
2446,Kirtika Ruchandani ,2,31
2447,Shweta Choudaha ,2,2007
2448,Alison Wang ,5,7553780
2449,Murali Karicheri ,29,1123925
2450,Rafal Krypa ,3,16073974
2451,Dennis Wassenberg ,1,0
2452,H. Peter Anvin ,11,7482
2453,Matthew Gerlach ,2,27816711
2454,Jeff Moyer ,11,3428152
2455,Sunad Bhandary ,2,25377623
2456,Jason Low ,14,2639379
2457,Helmut Grohne ,1,0
2458,Iban Rodriguez ,4,7198510
2459,LEROY Christophe ,46,795447
2460,hongkun.cao ,2,690955
2461,Pau Espin Pedrol ,1,0
2462,Tobin C Harding ,3,25943
2463,Lidza Louina ,1,0
2464,Li Dongyang ,2,5965206
2465,Michał Pecio ,3,13545129
2466,ayaka ,4,2765
2467,Nicolas Dufresne ,1,0
2468,Achiad Shochat ,60,529574
2469,Max Gurtovoy ,2,1
2470,Bob Ham ,2,1
2471,Herve Jourdain ,1,0
2472,Feifei Xu ,8,48296
2473,Dr. David Alan Gilbert ,2,22260226
2474,Mike Danese ,2,226338
2475,Serge E. Hallyn ,3,1198120
2476,"Fu, Zhonghui ",7,5427567
2477,Michal Schmidt ,13,2469533
2478,Khem Raj ,2,32856493
2479,Adrian Chadd ,1,0
2480,Christian Daudt ,3,1029710
2481,Lauri Kasanen ,1,0
2482,Venkat Prashanth B U ,1,0
2483,Yangbo Lu ,13,2654526
2484,Vitaly Wool ,2,1202665
2485,Corey Minyard ,17,1480072
2486,Guillermo Julián Moreno ,1,0
2487,Andy Deng ,1,0
2488,Olliver Schinagl ,13,1902920
2489,Chanho Min ,7,732679
2490,Kai Huang ,2,18240848
2491,Jaewon ,1,0
2492,Yong Li ,6,5137694
2493,Julien Grall ,68,479599
2494,Nicholas Krause ,34,994847
2495,Franky Lin ,13,2691939
2496,Gaurav Jindal (Gaurav Jindal) ,1,0
2497,Kangjie Lu ,10,290803
2498,Yunlong Song ,6,3926323
2499,Joshua Henderson ,14,953955
2500,Dmitry Bilunov ,1,0
2501,Raja Mani ,53,596789
2502,Masaru Nagai ,4,5715376
2503,Martin K. Petersen ,28,1259283
2504,Kazuya Mizuguchi ,15,2268971
2505,Andrew Goodbody ,5,2570502
2506,Bastien Nocera ,7,4506677
2507,"Kumar, Mahesh ",8,3348509
2508,Roderick Colenbrander ,1,0
2509,Mathieu Larouche ,3,12185346
2510,Sagar Arun Kamble ,13,1873786
2511,wangyunjian ,1,0
2512,Troy Kisky ,10,3398182
2513,Chen Haiquan ,1,0
2514,Anup Patel ,24,870998
2515,Jean-Jacques Hiblot ,1,0
2516,Simran Rai ,7,3215467
2517,Stephen Smalley ,17,1953823
2518,"Kanchanapally, Vidyullatha ",2,3044581
2519,Naveen Krishna Chatradhi ,1,0
2520,Cristian Stoica ,1,0
2521,Krzysztof Opasiak ,27,1041548
2522,Vahram Aharonyan ,3,1428380
2523,Jim Lodes ,4,995874
2525,Robert Richter ,15,2238332
2526,Taehee Yoo ,15,2398555
2527,Akshay Bhat ,16,1087652
2528,Baozeng Ding ,2,381753
2529,Pooya Keshavarzi ,1,0
2530,Benson Leung ,7,5507994
2531,Antony Pavlov ,18,1462066
2532,Stephen Just ,3,13324837
2533,Pavel Rojtberg ,14,2260282
2534,Rajneesh Bhardwaj ,1,0
2535,Marco Trevisan (Treviño) ,1,0
2536,Jaap Jan Meijer ,1,0
2537,Antonio Murdaca ,5,7736650
2538,Dan Streetman ,54,622153
2539,Erico Nunes ,1,0
2540,Moritz Fischer ,24,1112516
2541,Glenn Dayton ,1,0
2542,Zhang Zhuoyu ,1,0
2543,Nicholas D Steeves ,1,0
2544,Roman Kagan ,1,0
2545,Tom Lendacky ,19,1747339
2546,Honggang Li ,1,0
2547,Heiko Schocher ,10,3532943
2548,z00189512 ,1,0
2549,Stefano Stabellini ,24,1359952
2551,Oleksandr Natalenko ,2,5295508
2552,Wang Xiaoqiang ,6,2227772
2553,Tomáš Trnka ,1,0
2554,Matt Gumbel ,1,0
2555,Ramalingam C ,8,4229789
2556,Tomas Bzatek ,1,0
2557,Cristina Moraru ,38,548092
2558,Tiberiu Breana ,19,1809517
2559,Nicolas Chauvet ,6,4733553
2560,Thomas Koeller ,1,0
2561,Sam Ravnborg ,8,3544036
2562,Heloise ,1,0
2563,"Du, Changbin ",15,927550
2564,René Nyffenegger ,2,1940154
2565,Janis Danisevskis ,1,0
2566,Richard W.M. Jones ,2,1362097
2567,Stefan Bader ,2,12260116
2568,Yu Zhao ,3,11020291
2569,Weijie Yang ,2,10905458
2570,Ming Li ,1,0
2571,Chen Yucong ,3,4650253
2572,Neil Horman ,27,1052497
2573,Rafal Redzimski ,2,3213287
2574,Soumya PN ,1,0
2576,Matt Evans ,1,0
2577,Qianyu Gong ,1,0
2579,Sergey Yanovich ,1,0
2580,Andres Lagar-Cavilla ,1,0
2581,Li Zhang ,4,9459607
2582,Yaowei Bai ,75,296737
2583,Li Peng ,2,17708200
2584,Jun Piao ,2,5624218
2585,Alden Tondettar ,4,667909
2586,Daniel Hung-yu Wu ,1,0
2587,Andy Honig ,1,0
2588,Pankaj Gupta ,2,28466437
2589,Shirley Ma ,3,13047874
2591,Dawei Chien ,1,0
2592,Ulises Brindis ,2,24025288
2593,Andy Champ ,1,0
2594,Boris BREZILLON ,138,243601
2595,Chenhui Zhao ,1,0
2596,"Samudrala, Sridhar ",3,15751254
2597,David Bond ,1,0
2598,tom will ,2,354
2599,Pantelis Antoniou ,5,7813910
2600,Ken Sumrall ,1,0
2601,Scott Talbert ,1,0
2602,chenhui zhao ,8,2616980
2603,Hou Zhiqiang ,7,3917006
2604,Ajit Khaparde ,4,2717776
2605,Qiang Huang ,1,0
2606,Knud Poulsen ,3,20
2607,Nigel Croxon ,1,0
2608,Ashish Shah ,1,0
2609,Akeem G Abodunrin ,4,5869798
2610,Kevin Scott ,4,6100030
2611,Guy Levi ,1,0
2612,Hans Westgaard Ry ,3,4086348
2613,Brian Walsh ,1,0
2614,Tony Wu ,2,32558
2615,Lauro Costa ,1,0
2616,Sashka Nochkin ,1,0
2617,Aurelien Jarno ,4,6734902
2618,Emil Velikov ,38,42476
2619,Leonid Yegoshin ,7,4704077
2620,Martin Schiller ,3,7127737
2621,Simon Arlott ,23,804832
2622,Andrei Pistirica ,4,2133574
2623,Markos Chandras ,55,522674
2624,Alban Bedel ,62,540901
2626,Jeremy McDermond ,7,346205
2627,Dan Fuhry ,1,0
2628,Nick Hoath ,25,1436642
2629,Tom O'Rourke ,1,0
2630,Mans Rullgard ,39,542681
2631,Jeremy Compostella ,2,458461
2632,Dmitry V. Levin ,11,1371809
2633,Riccardo Bortolato ,1,0
2634,hchrzani ,1,0
2635,Vik Heyndrickx ,1,0
2636,Chaitra P B ,6,43
2637,wang yanqing ,3,448
2638,Charlie Mooney ,3,14592101
2639,Clinton Sprain ,1,0
2640,Aaron Durbin ,1,0
2641,Gene Chen ,1,0
2642,Harish Kasiviswanathan ,1,0
2643,Sonny Jiang ,11,2960800
2644,Michele Curti ,5,7146097
2645,Christophe Lombard ,11,1877096
2646,Lennart Sorensen ,1,0
2647,Chandan Kumar ,2,1
2648,Laurent Vivier ,4,5223964
2649,Petros Koutoupis ,1,0
2650,Shaohui Xie ,17,1730425
2651,Dirk Gouders ,3,6729
2652,Pardha Saradhi K ,1,0
2653,Azriel Samson ,2,9197615
2654,Mordechai Goodstein ,1,0
2655,Wang Hongcheng ,5,1174168
2656,Julian Scheel ,6,5750071
2657,Yura Pakhuchiy ,1,0
2658,Laurence Oberman ,1,0
2659,Imran Haider ,1,0
2660,Taku Izumi ,38,605285
2661,Robin Humble ,1,0
2662,Michael Thalmeier ,10,288058
2663,Helmut Schaa ,8,2841347
2664,Alejandro Torrado ,1,0
2665,Chris Diamand ,2,8867166
2666,Michael Haas ,1,0
2667,Dave Wysochanski ,1,0
2669,Alexander Curtin ,14,278514
2670,Joshua Kinard ,4,9290517
2671,Andreas Ruprecht ,4,9395493
2672,Nikolay Martynov ,1,0
2673,Andreas Gröger ,3,15946324
2674,Nikita Edward Baruzdin ,1,0
2675,Alexander Gerasiov ,1,0
2676,Kenneth Graunke ,1,0
2677,Tal Zilcer ,1,0
2678,Courtney Cavin ,6,4792549
2679,Franck Jullien ,2,2752481
2680,Satoshi Nagahama ,1,0
2681,Marc Angel ,1,0
2682,Jon Maxwell ,3,13043675
2683,Kevin Fitch ,1,0
2684,Andrea Adami ,1,0
2685,Mike Williams ,3,222
2686,Austin S. Hemmelgarn ,1,0
2687,Haggai Abramovsky ,4,3036439
2688,Lawrence Yiu ,1,0
2689,Howard Cochran ,2,2007835
2690,Dinko Mironov ,1,0
2692,Wang YanQing ,6,5345410
2693,Konstantin Shkolnyy ,11,1476906
2694,Yuyang Du ,16,1589119
2695,Mitchell Tasman ,1,0
2696,Moritz Kühner ,2,3
2697,Mykola Lysenko ,8,1748116
2698,rezhu ,5,5640832
2699,Bas Nieuwenhuizen ,2,22563112
2700,Sai Gurrappadi ,1,0
2701,Arjun Sreedharan ,1,0
2702,Florian Euchner ,1,0
2703,Yury Norov ,3,6668465
2705,Sasha Levin ,31,1002443
2706,Lei Liu ,1,0
2707,Constantin Musca ,1,0
2708,Minghuan Lian ,13,1320997
2709,Mimi Zohar ,31,1004074
2710,Usha Ketineni ,3,5045795
2711,KY Srinivasan ,21,1543001
2712,lei liu ,1,0
2713,Josh Boyer ,10,2244108
2714,Peter Hurley ,191,165153
2716,Pratik Patel ,13,2485140
2717,Manu Kumar ,6,66433
2718,Wei Wang ,2,6391310
2719,Tirumalesh Chalamarla ,8,3700783
2720,Chunyu Hu ,4,1613607
2721,Michael Callahan ,1,0
2722,Schemmel Hans-Christoph ,2,4002293
2723,Stas Sergeev ,11,2967187
2724,Gabriele Paoloni ,10,1747354
2725,Vitaly Prosyak ,6,2296495
2726,Jérome Glisse ,15,288774
2727,Serge Hallyn ,4,2187020
2728,Stanislav Meduna ,1,0
2729,Praveen Paneri ,2,18
2730,Dharageswari.R ,7,1626432
2731,Mousumi Jana ,1,0
2732,Martin Sperl ,69,476473
2733,Andreas Fenkart ,20,1559978
2734,Tim Bingham ,1,0
2735,Hamish Martin ,3,5921175
2736,Wang Shanker ,1,0
2737,Ben Sen ,1,0
2739,Yi Zhang ,3,12834536
2740,Mariusz Bialonczyk ,1,0
2741,Brian Bloniarz ,1,0
2742,Dmitry Kasatkin ,14,2298438
2743,Jake Oshins ,18,1367647
2744,Sudeep Dutt ,36,844420
2745,Maarten Brock ,7,1088873
2747,Wills Wang ,2,7206038
2748,Chunfeng Yun ,16,1192282
2749,Inki Dae ,19,1514204
2750,Itai Katz ,10,2003233
2751,Horia Geanta ,1,0
2752,han tai ,1,0
2753,Manav Batra ,1,0
2754,Nicholas Sim ,10,311382
2755,Cihangir Akturk ,7,4059062
2756,Juanma de Hoyos ,1,0
2757,Ben Marsh ,22,337216
2758,Markus Böhme ,3,14090222
2759,Leo Sperling ,1,0
2760,Joseph T Handzik ,1,0
2761,Raghava Aditya Renukunta ,20,299499
2762,Igor Kotrasinski ,19,1061363
2763,Miroslav Benes ,7,5105751
2764,Li Bin ,13,1515424
2766,Yisen.Zhuang\(Zhuangyuzeng\) ,15,21727
2767,Bruce Rogers ,1,0
2768,Helen Mae Koike Fornazier ,3,374193
2769,Caleb Crome ,1,0
2770,Jiang Qiu ,3,57
2771,Leo Kim ,462,42946
2772,Swapnil Pimpale ,4,490924
2773,James Nunez ,3,2254626
2775,Wang Di ,1,0
2776,David Müller ,2,237235
2777,xuejiufei ,10,1161921
2778,Ananth N Mavinakayanahalli ,2,31143019
2780,Jerry Hoemann ,4,1558783
2781,David Rivshin ,17,713180
2782,françois romieu ,12,2833208
2783,Petko Manolov ,7,2102708
2784,Mohammad Khan ,1,0
2785,Chien Tin Tung ,1,0
2787,Jianqun Xu ,5,1434843
2788,Chris Bainbridge ,8,4434086
2789,anish kumar ,4,2645854
2790,Thomas Renninger ,6,3084882
2791,Mattia Dongili ,3,4302386
2792,Fu Wei ,6,1221222
2793,Linn Crosetto ,2,1
2794,Kyeongmin Cho ,1,0
2795,Luke Dashjr ,2,30200735
2796,Satoru Takeuchi ,3,2059929
2797,Sevak Arakelyan ,1,0
2798,Fei Yang ,1,0
2799,Shilpasri G Bhat ,18,1577370
2800,Kamil Krawczyk ,2,11804223
2801,Michal Kosiarz ,2,11803997
2802,Matthias Reichl ,4,57536
2803,Andreas Dannenberg ,21,1217902
2804,Trent Lloyd ,1,0
2805,Chanho Park ,6,4451829
2806,Shashank Sharma ,17,2045486
2807,Rui Salvaterra ,3,587553
2808,Jakub Wilk ,5,6067541
2809,Sergio Prado ,4,2174363
2810,Phil Edworthy ,14,1854881
2811,cpaul@redhat.com ,2,430375
2814,Aleksei Fedotov ,2,22109573
2815,Peter Swain ,2,85584
2816,Francesco Ruggeri ,4,4981781
2817,Yetunde Adebisi ,3,442
2818,Steve deRosier ,4,4028547
2819,Alan Liu ,2,15555212
2820,Chun-Yeow Yeoh ,6,6358417
2821,Akira Tsukamoto ,1,0
2822,Per Forlin ,1,0
2823,Jia-Ju Bai ,16,1600577
2824,Conrad Kostecki ,1,0
2825,Ivan Babrou ,1,0
2826,Suman Anna ,67,471185
2827,Kai Makisara ,2,5355674
2828,Sebastian Herbszt ,7,3975179
2829,Glenn Ruben Bakke ,7,4510704
2830,Knut Wohlrab ,2,3404625
2831,WEN Pingbo ,3,9118727
2832,Pontus Fuchs ,17,1702731
2833,Nazar Mokrynskyi ,1,0
2834,Philippe Longepe ,10,1522556
2835,Dr. H. Nikolaus Schaller ,1,0
2836,Andrew Gabbasov ,9,3164918
2837,Ashok Kumar ,10,1248828
2838,Horia Geant? ,15,2149898
2839,Jens Kuske ,10,3388614
2840,Jasem Mutlaq ,1,0
2841,Emmanouil Maroudas ,1,0
2842,Luke Starrett ,1,0
2843,Evgeny Voevodin ,1,0
2844,Andrea Venturi ,1,0
2845,Zhuang Yuyao ,1,0
2846,Khalid Aziz ,2,10294721
2848,Lukasz Anaczkowski ,4,7771466
2849,Peter Heise ,3,253570
2850,Dave Martin ,6,6063209
2851,Koro Chen ,20,1410517
2853,Hari Bathini ,3,10640358
2854,Stefan Schmidt ,25,1206972
2855,Omer Peleg ,8,338
2856,Vladis Dronov ,9,1654821
2857,Kalle Valo ,61,557917
2858,Krzysztof Hałasa ,8,3569679
2859,Alex Dai ,22,1128537
2860,Xiao Guangrong ,62,493177
2861,Liang Chen ,3,4124782
2863,Jonas Eymann ,1,0
2864,"Lu, Han ",8,4330078
2865,Maxim Zhukov ,2,987793
2866,Petr Štetiar ,7,2395221
2867,Daniel DeFreez ,1,0
2868,Sjoerd Simons ,30,749655
2869,Schuyler Patton ,2,607995
2870,Max Uvarov ,1,0
2871,Aubrey Li ,1,0
2872,Ezequiel García ,13,1755955
2873,Shubhangi Shrivastava ,10,1478627
2874,jim.bride@linux.intel.com ,2,13666653
2875,Moise Gergaud ,14,1007943
2876,Martin Dummer ,2,121
2877,Justin Chen ,4,5018651
2878,Askar Safin ,1,0
2879,Pavel Fedin ,26,1033974
2880,Adam Buchbinder ,19,259803
2881,Sina Hamedian ,1,0
2882,Ahmed Samy ,1,0
2883,Slawomir Stepien ,13,100818
2884,santosh.shilimkar@oracle.com ,32,655249
2885,Qing Huang ,1,0
2886,wangweidong ,5,4050054
2887,Doug Hoyte ,1,0
2888,Diego Herranz ,2,182571
2889,Diego Viola ,10,3106075
2890,Leonid Moiseichuk ,1,0
2891,Chad Dupuis ,15,1436947
2892,Jan Höppner ,4,1128094
2893,Xinwei Kong ,2,1275
2894,Zhong Kaihua ,3,10
2895,Dongwon Kim ,3,8855220
2896,Koji Matsuoka ,9,2504555
2897,Jack Pham ,5,1753506
2898,Yingjoe Chen ,18,1824227
2899,Martin Vajnar ,1,0
2900,Rameshwar Prasad Sahu ,9,3428551
2901,Bert Vermeulen ,4,10430577
2902,Rahul Verma ,1,0
2903,Petri Gynther ,15,1961857
2904,Chris Friesen ,2,3168485
2905,Emrah Demir ,1,0
2906,Jonas Rabenstein ,4,7462614
2907,Yoshihiro Kaneko ,2,2235683
2908,Andrzej Pietrasiewicz ,27,1136578
2909,Brijesh Singh ,4,6421437
2910,Robert Dobrowolski ,1,0
2911,Benjamin LaHaise ,1,0
2912,Cory Tusar ,13,2268820
2913,Justin Waters ,5,951752
2914,Erin Lo ,3,6257786
2915,Biao Huang ,9,1047259
2916,Markus Reichl ,5,7356768
2918,Hyungwon Hwang ,25,1109795
2919,Yunhui Cui ,1,0
2921,Kunihiko Hayashi ,1,0
2922,Kirill Marinushkin ,1,0
2923,Peter Oh ,32,1126511
2924,Jan Luebbe ,10,2458794
2925,Dmitry Ivanov ,2,122803
2926,Jacek Lawrynowicz ,2,32348
2927,JC Lafoucriere ,2,6
2928,Gaurav Mahajan ,1,0
2929,Aurelien Degremont ,1,0
2930,Narsimhulu Musini ,8,3664279
2932,Adrian-Ken Rueegsegger ,1,0
2933,Erik Hugne ,3,8794530
2934,Vipin K Parashar ,3,11676484
2935,Harald Geyer ,14,2254617
2936,YH Huang ,4,5387102
2937,Paul Cercueil ,3,15078838
2938,Patrik Flykt ,1,0
2939,Alan ,16,1980659
2940,Itai Handler ,1,0
2941,"Strashko, Grygorii ",2,11169385
2942,Jozsef Kadlecsik ,20,1501632
2943,Julian Calaby ,1,0
2944,Andy Fleming ,2,14972966
2945,Gabriel Somlo ,7,2679304
2946,Arika Chen ,1,0
2947,Deepthi Kavalur ,1,0
2948,Doron Shikmoni ,1,0
2949,John Holland ,1,0
2950,Peter Hutterer ,8,3270648
2951,John Ogness ,8,4144138
2952,Dennis Kadioglu ,2,3091980
2953,Colin King ,2,16375876
2955,Jeff Vander Stoep ,5,5769599
2956,David Disseldorp ,6,4433403
2957,Janak Desai ,1,0
2958,Bruce Allan ,22,1038988
2959,Andrey Vostrikov ,1,0
2960,Silvan Jegen ,2,28445819
2961,Yong Wu ,7,574704
2962,Cosmin-Gabriel Samoila ,2,730577
2963,Ahsan Atta ,3,10896369
2964,Arun Siluvery ,47,678487
2965,Paul Parsons ,3,3132
2966,Akira Moroo ,1,0
2967,Will Miles ,1,0
2968,Rostislav Pehlivanov ,2,21488872
2969,Bastien Philbert ,1,0
2970,chas williams ,2,16989337
2972,Yauhen Kharuzhy ,1,0
2973,Davide Italiano ,1,0
2974,Alistair Leslie-Hughes ,1,0
2975,Przemek Rudy ,1,0
2976,Konrad Rzeszutek Wilk ,19,689729
2977,Yusuke Fujimaki ,2,252737
2978,Weijie Gao ,1,0
2979,Marc Titinger ,11,1358405
2980,Lisheng ,3,231539
2981,Akash Choudhari ,1,0
2982,Neil Zhang ,2,4652919
2983,Yuki Shibuya ,1,0
2984,Vandana Kannan ,14,2378252
2985,Yao Dongdong ,1,0
2986,Patrick Uiterwijk ,3,59824
2987,Kaixu Xia ,7,3377163
2988,Alfredo Alvarez Fernandez ,4,897090
2989,Dongsheng Yang ,9,1980942
2990,Dave Anderson ,1,0
2991,Ignat Korchagin ,1,0
2993,Vishal Mahaveer ,3,9116218
2994,Andres Freund ,1,0
2995,Sander Eikelenboom ,1,0
2996,Dima Kogan ,3,6654964
2997,Chaya Rachel Ivgi ,14,2267159
2998,Sedat Dilek ,1,0
2999,Imre Kaloz ,3,13990022
3000,Qi Zheng ,1,0
3001,Qipeng Zha ,16,1681484
3002,YD Tseng ,2,13460005
3004,Aniket Sharma ,1,0
3005,Adam Baker ,3,913872
3006,Andrew Price ,4,5446527
3007,Qais Yousef ,21,465488
3008,Stephane Bryant ,3,146
3009,Harald Freudenberger ,2,26691230
3010,Jiebing Li ,1,0
3011,Sebastian Siewior ,4,2970307
3013,Okash Khawaja ,5,6634547
3014,Parinay Kondekar ,6,927235
3016,Kathryn Hampton ,1,0
3017,Samuel Thibault ,7,4183924
3019,Nik Nyby ,18,1386372
3020,Heena Sirwani ,1,0
3021,Dilek Uzulmez ,6,633076
3022,Sam Horlbeck Olsen ,1,0
3023,Kyle Kuffermann ,2,1412487
3024,Roger H. Newell ,5,981881
3025,JM Friedt ,3,12098148
3026,Reinder de Haan ,5,3893701
3027,Xue jiufei ,9,2969460
3028,jiangyiwen ,9,2192272
3029,Ryan Ding ,13,1461515
3030,Anton Protopopov ,13,332934
3031,Sheng Li ,4,56143
3032,John Dahlstrom ,1,0
3033,Souvik Kumar Chakravarty ,7,916499
3034,Eric Curtin ,2,15803860
3035,Bobi Mihalca ,3,297
3036,MaJun ,5,1836054
3037,Piotr Kwapulinski ,3,11746388
3038,Stefani Seibold ,1,0
3041,Marta Rybczynska ,1,0
3042,Lan Tianyu ,7,1
3043,Huaitong Han ,11,1652465
3044,Tomas Elf ,7,3637900
3045,Emil Bartczak ,1,0
3046,Jakub Jelen ,1,0
3047,John Lin ,17,1695556
3048,Sohom Bhattacharjee ,1,0
3049,Tero Roponen ,1,0
3050,Jesse Barnes ,13,2447969
3051,Jordan Justen ,6,2886036
3053,Jesse Gross ,9,2203118
3054,Stefan Eichenberger ,2,52
3055,Victor Clément ,1,0
3056,Matias Bjorling ,1,0
3058,Cyan Ogilvie ,1,0
3059,ludovic.desroches@atmel.com ,12,2209189
3060,Keith Mok ,1,0
3061,Richard Pospesel ,1,0
3062,Ivan Delalande ,1,0
3063,Rob Landley ,1,0
3064,Dave Young ,4,5445211
3065,YiPing Xu ,1,0
3067,Joshua Hunt ,1,0
3068,Nate Dailey ,1,0
3069,Piet Delaney ,1,0
3070,Alex Estrin ,2,2937720
3071,Kaike Wan ,12,1570161
3072,Brent Taylor ,2,24374517
3073,Philip Elcan ,1,0
3074,Nicolas Boichat ,23,1190243
3075,Mihai Mihalache ,1,0
3076,Nathan Schulte ,1,0
3077,Slava Bacherikov ,1,0
3078,Stanislav Kinsburskiy ,2,5759979
3079,Geyslan G. Bem ,46,196439
3080,San Mehat ,1,0
3081,Jiufei Xue ,1,0
3082,Lada Trimasova ,4,1324037
3083,Yaniv Gardi ,50,504657
3084,Bryn M. Reeves ,1,0
3085,Michael Büsch ,9,592529
3086,Soren Brinkmann ,21,982031
3087,Robert Doebbelin ,1,0
3088,Hans-Christian Egtvedt ,3,11381269
3089,Aaron Plattner ,3,10237998
3090,liping.zhang ,1,0
3091,Xia Yang ,1,0
3092,Martin Peres ,9,1423433
3093,Varad Gautam ,1,0
3094,vikram.jadhav07 ,1,0
3095,Hubert Chrzaniuk ,4,4870894
3096,"Chrzaniuk, Hubert ",1,0
3097,Krzysztof Halasa ,1,0
3098,James Johnston ,1,0
3099,Isaac Huang ,2,15440274
3100,G Pooja Shamili ,3,148
3101,Derek Yerger ,1,0
3102,Sandeep Jain ,1,0
3103,Janani Ravichandran ,71,38490
3104,Georgiana Chelu ,1,0
3105,EunTaik Lee ,2,1878512
3106,Shraddha Barke ,215,91395
3107,Tapan Prakash T ,5,218372
3108,Matthew Dawson ,3,2002215
3109,Zvi Nachmani ,1,0
3110,Scott Lawson ,1,0
3111,Pingchao Yang ,9,2570393
3112,Hector Marco-Gisbert ,1,0
3113,Sheng Yang ,8,1268634
3114,Jenny Derzhavetz ,18,901063
3115,Quinn Tran ,16,1326837
3116,Malcolm Priestley ,105,262120
3117,Vennila Megavannan ,9,1465810
3118,Hari Prasath Gujulan Elango ,45,542447
3119,Sadanand Warrier ,1,0
3120,Bryan Morgan ,1,0
3121,Jim Snow ,5,2130181
3122,Edward Mascarenhas ,2,2760521
3123,Josh Hunt ,2,51
3124,DingXiang ,1,0
3125,Rajesh Borundia ,3,8855842
3126,Xiangliang Yu ,4,2915466
3127,"Wiebe, Wladislav (Nokia - DE/Ulm) ",1,0
3128,"Luck, Tony ",3,10333838
3129,Quan Nguyen ,4,582998
3130,Eliad Peller ,44,635119
3131,OGAWA Hirofumi ,3,4760096
3132,Geoffrey Thomas ,1,0
3133,Harb Abdulhamid ,1,0
3134,Zhiyi Sun ,1,0
3135,Philippe Loctaux ,2,343988
3136,Kaiyen Chang ,1,0
3137,Xuelin Shi ,2,35936
3138,Saurabh Sengar ,24,492051
3139,Huiquan Zhong ,1,0
3140,Robin H. Johnson ,1,0
3141,Chen Fan ,1,0
3142,Bogicevic Sasa ,9,1424031
3143,Kyeong Yoo ,1,0
3144,Kostenzer Felix ,1,0
3145,Luca Abeni ,10,2824304
3146,Martin Koegler ,1,0
3147,Grzegorz Bajorski ,2,1128095
3148,Henry Paulissen ,2,109
3149,Julien Grossholtz ,5,1186654
