author,times,average
Yury Norov ,3,6668465
Betty Dall ,3,0
Sasha Levin ,31,1002443
Lei Liu ,1,0
Constantin Musca ,1,0
Minghuan Lian ,13,1320997
Mimi Zohar ,31,1004074
Usha Ketineni ,3,5045795
KY Srinivasan ,21,1543001
lei liu ,1,0
Josh Boyer ,10,2244108
Peter Hurley ,191,165153
Li Pengcheng ,3,0
Pratik Patel ,13,2485140
Manu Kumar ,6,66433
Wei Wang ,2,6391310
Tirumalesh Chalamarla ,8,3700783
Chunyu Hu ,4,1613607
Michael Callahan ,1,0
Schemmel Hans-Christoph ,2,4002293
Stas Sergeev ,11,2967187
Gabriele Paoloni ,10,1747354
Vitaly Prosyak ,6,2296495
Jérome Glisse ,15,288774
Serge Hallyn ,4,2187020
Stanislav Meduna ,1,0
Praveen Paneri ,2,18
Dharageswari.R ,7,1626432
Mousumi Jana ,1,0
Martin Sperl ,69,476473
Andreas Fenkart ,20,1559978
Tim Bingham ,1,0
Hamish Martin ,3,5921175
Wang Shanker ,1,0
Ben Sen ,1,0
Jacky Boen ,10,0
Yi Zhang ,3,12834536
Mariusz Bialonczyk ,1,0
Brian Bloniarz ,1,0
Dmitry Kasatkin ,14,2298438
Jake Oshins ,18,1367647
Sudeep Dutt ,36,844420
Maarten Brock ,7,1088873
Wan Ahmad Zainie ,2,0
Wills Wang ,2,7206038
Chunfeng Yun ,16,1192282
Inki Dae ,19,1514204
Itai Katz ,10,2003233
Horia Geanta ,1,0
han tai ,1,0
Manav Batra ,1,0
Nicholas Sim ,10,311382
Cihangir Akturk ,7,4059062
Juanma de Hoyos ,1,0
Ben Marsh ,22,337216
Markus Böhme ,3,14090222
Leo Sperling ,1,0
Joseph T Handzik ,1,0
Raghava Aditya Renukunta ,20,299499
Igor Kotrasinski ,19,1061363
Miroslav Benes ,7,5105751
Li Bin ,13,1515424
Michael Heimpold ,2,0
Yisen.Zhuang\(Zhuangyuzeng\) ,15,21727
Bruce Rogers ,1,0
Helen Mae Koike Fornazier ,3,374193
Caleb Crome ,1,0
Jiang Qiu ,3,57
Leo Kim ,462,42946
Swapnil Pimpale ,4,490924
James Nunez ,3,2254626
Bruce Korb ,4,0
Wang Di ,1,0
David Müller ,2,237235
xuejiufei ,10,1161921
Ananth N Mavinakayanahalli ,2,31143019
Atsushi Kumagai ,2,0
Jerry Hoemann ,4,1558783
David Rivshin ,17,713180
françois romieu ,12,2833208
Petko Manolov ,7,2102708
Mohammad Khan ,1,0
Chien Tin Tung ,1,0
"Ismail, Mustafa ",16,0
Jianqun Xu ,5,1434843
Chris Bainbridge ,8,4434086
anish kumar ,4,2645854
Thomas Renninger ,6,3084882
Mattia Dongili ,3,4302386
Fu Wei ,6,1221222
Linn Crosetto ,2,1
Kyeongmin Cho ,1,0
Luke Dashjr ,2,30200735
Satoru Takeuchi ,3,2059929
Sevak Arakelyan ,1,0
Fei Yang ,1,0
Shilpasri G Bhat ,18,1577370
Kamil Krawczyk ,2,11804223
Michal Kosiarz ,2,11803997
Matthias Reichl ,4,57536
Andreas Dannenberg ,21,1217902
Trent Lloyd ,1,0
Chanho Park ,6,4451829
Shashank Sharma ,17,2045486
Rui Salvaterra ,3,587553
Jakub Wilk ,5,6067541
Sergio Prado ,4,2174363
Phil Edworthy ,14,1854881
cpaul@redhat.com ,2,430375
Alexandr Ivanov ,3,0
David Mosberger ,2,0
Aleksei Fedotov ,2,22109573
Peter Swain ,2,85584
Francesco Ruggeri ,4,4981781
Yetunde Adebisi ,3,442
Steve deRosier ,4,4028547
Alan Liu ,2,15555212
Chun-Yeow Yeoh ,6,6358417
Akira Tsukamoto ,1,0
Per Forlin ,1,0
Jia-Ju Bai ,16,1600577
Conrad Kostecki ,1,0
Ivan Babrou ,1,0
Suman Anna ,67,471185
Kai Makisara ,2,5355674
Sebastian Herbszt ,7,3975179
Glenn Ruben Bakke ,7,4510704
Knut Wohlrab ,2,3404625
WEN Pingbo ,3,9118727
Pontus Fuchs ,17,1702731
Nazar Mokrynskyi ,1,0
Philippe Longepe ,10,1522556
Dr. H. Nikolaus Schaller ,1,0
Andrew Gabbasov ,9,3164918
Ashok Kumar ,10,1248828
Horia Geant? ,15,2149898
Jens Kuske ,10,3388614
Jasem Mutlaq ,1,0
Emmanouil Maroudas ,1,0
Luke Starrett ,1,0
Evgeny Voevodin ,1,0
Andrea Venturi ,1,0
Zhuang Yuyao ,1,0
Khalid Aziz ,2,10294721
Adrian Glaubitz ,2,0
Lukasz Anaczkowski ,4,7771466
Peter Heise ,3,253570
Dave Martin ,6,6063209
Koro Chen ,20,1410517
Anju T ,3,0
Hari Bathini ,3,10640358
Stefan Schmidt ,25,1206972
Omer Peleg ,8,338
Vladis Dronov ,9,1654821
Kalle Valo ,61,557917
Krzysztof Hałasa ,8,3569679
Alex Dai ,22,1128537
Xiao Guangrong ,62,493177
Liang Chen ,3,4124782
Halil Pasic ,3,0
Jonas Eymann ,1,0
"Lu, Han ",8,4330078
Maxim Zhukov ,2,987793
Petr Štetiar ,7,2395221
Daniel DeFreez ,1,0
Sjoerd Simons ,30,749655
Schuyler Patton ,2,607995
Max Uvarov ,1,0
Aubrey Li ,1,0
Ezequiel García ,13,1755955
Shubhangi Shrivastava ,10,1478627
jim.bride@linux.intel.com ,2,13666653
Moise Gergaud ,14,1007943
Martin Dummer ,2,121
Justin Chen ,4,5018651
Askar Safin ,1,0
Pavel Fedin ,26,1033974
Adam Buchbinder ,19,259803
Sina Hamedian ,1,0
Ahmed Samy ,1,0
Slawomir Stepien ,13,100818
santosh.shilimkar@oracle.com ,32,655249
Qing Huang ,1,0
wangweidong ,5,4050054
Doug Hoyte ,1,0
Diego Herranz ,2,182571
Diego Viola ,10,3106075
Leonid Moiseichuk ,1,0
Chad Dupuis ,15,1436947
Jan Höppner ,4,1128094
Xinwei Kong ,2,1275
Zhong Kaihua ,3,10
Dongwon Kim ,3,8855220
Koji Matsuoka ,9,2504555
Jack Pham ,5,1753506
Yingjoe Chen ,18,1824227
Martin Vajnar ,1,0
Rameshwar Prasad Sahu ,9,3428551
Bert Vermeulen ,4,10430577
Rahul Verma ,1,0
Petri Gynther ,15,1961857
Chris Friesen ,2,3168485
Emrah Demir ,1,0
Jonas Rabenstein ,4,7462614
Yoshihiro Kaneko ,2,2235683
Andrzej Pietrasiewicz ,27,1136578
Brijesh Singh ,4,6421437
Robert Dobrowolski ,1,0
Benjamin LaHaise ,1,0
Cory Tusar ,13,2268820
Justin Waters ,5,951752
Erin Lo ,3,6257786
Biao Huang ,9,1047259
Markus Reichl ,5,7356768
Alexandre Macabies ,3,0
Hyungwon Hwang ,25,1109795
Yunhui Cui ,1,0
Filip Matijević ,2,0
Kunihiko Hayashi ,1,0
Kirill Marinushkin ,1,0
Peter Oh ,32,1126511
Jan Luebbe ,10,2458794
Dmitry Ivanov ,2,122803
Jacek Lawrynowicz ,2,32348
JC Lafoucriere ,2,6
Gaurav Mahajan ,1,0
Aurelien Degremont ,1,0
Narsimhulu Musini ,8,3664279
Satish Kharat ,3,0
Adrian-Ken Rueegsegger ,1,0
Erik Hugne ,3,8794530
Vipin K Parashar ,3,11676484
Harald Geyer ,14,2254617
YH Huang ,4,5387102
Paul Cercueil ,3,15078838
Patrik Flykt ,1,0
Alan ,16,1980659
Itai Handler ,1,0
"Strashko, Grygorii ",2,11169385
Jozsef Kadlecsik ,20,1501632
Julian Calaby ,1,0
Andy Fleming ,2,14972966
Gabriel Somlo ,7,2679304
Arika Chen ,1,0
Deepthi Kavalur ,1,0
Doron Shikmoni ,1,0
John Holland ,1,0
Peter Hutterer ,8,3270648
John Ogness ,8,4144138
Dennis Kadioglu ,2,3091980
Colin King ,2,16375876
samanthakumar ,2,0
Jeff Vander Stoep ,5,5769599
David Disseldorp ,6,4433403
Janak Desai ,1,0
Bruce Allan ,22,1038988
Andrey Vostrikov ,1,0
Silvan Jegen ,2,28445819
Yong Wu ,7,574704
Cosmin-Gabriel Samoila ,2,730577
Ahsan Atta ,3,10896369
Arun Siluvery ,47,678487
Paul Parsons ,3,3132
Akira Moroo ,1,0
Will Miles ,1,0
Rostislav Pehlivanov ,2,21488872
Bastien Philbert ,1,0
chas williams ,2,16989337
Mario Six ,3,0
Yauhen Kharuzhy ,1,0
Davide Italiano ,1,0
Alistair Leslie-Hughes ,1,0
Przemek Rudy ,1,0
Konrad Rzeszutek Wilk ,19,689729
Yusuke Fujimaki ,2,252737
Weijie Gao ,1,0
Marc Titinger ,11,1358405
Lisheng ,3,231539
Akash Choudhari ,1,0
Neil Zhang ,2,4652919
Yuki Shibuya ,1,0
Vandana Kannan ,14,2378252
Yao Dongdong ,1,0
Patrick Uiterwijk ,3,59824
Kaixu Xia ,7,3377163
Alfredo Alvarez Fernandez ,4,897090
Dongsheng Yang ,9,1980942
Dave Anderson ,1,0
Ignat Korchagin ,1,0
John Hammond ,5,0
Vishal Mahaveer ,3,9116218
Andres Freund ,1,0
Sander Eikelenboom ,1,0
Dima Kogan ,3,6654964
Chaya Rachel Ivgi ,14,2267159
Sedat Dilek ,1,0
Imre Kaloz ,3,13990022
Qi Zheng ,1,0
Qipeng Zha ,16,1681484
YD Tseng ,2,13460005
Dominique van den Broeck ,2,0
Aniket Sharma ,1,0
Adam Baker ,3,913872
Andrew Price ,4,5446527
Qais Yousef ,21,465488
Stephane Bryant ,3,146
Harald Freudenberger ,2,26691230
Jiebing Li ,1,0
Sebastian Siewior ,4,2970307
Nobuteru Hayashi ,3,0
Okash Khawaja ,5,6634547
Parinay Kondekar ,6,927235
Svetlana Orlik ,8,0
Kathryn Hampton ,1,0
Samuel Thibault ,7,4183924
Leslie Klein ,2,0
Nik Nyby ,18,1386372
Heena Sirwani ,1,0
Dilek Uzulmez ,6,633076
Sam Horlbeck Olsen ,1,0
Kyle Kuffermann ,2,1412487
Roger H. Newell ,5,981881
JM Friedt ,3,12098148
Reinder de Haan ,5,3893701
Xue jiufei ,9,2969460
jiangyiwen ,9,2192272
Ryan Ding ,13,1461515
Anton Protopopov ,13,332934
Sheng Li ,4,56143
John Dahlstrom ,1,0
Souvik Kumar Chakravarty ,7,916499
Eric Curtin ,2,15803860
Bobi Mihalca ,3,297
MaJun ,5,1836054
Piotr Kwapulinski ,3,11746388
Stefani Seibold ,1,0
Aurelien Jacquiot ,2,0
Claudio Imbrenda ,2,0
Marta Rybczynska ,1,0
Lan Tianyu ,7,1
Huaitong Han ,11,1652465
Tomas Elf ,7,3637900
Emil Bartczak ,1,0
Jakub Jelen ,1,0
John Lin ,17,1695556
Sohom Bhattacharjee ,1,0
Tero Roponen ,1,0
Jesse Barnes ,13,2447969
Jordan Justen ,6,2886036
Vikas Shivappa ,5,0
Jesse Gross ,9,2203118
Stefan Eichenberger ,2,52
Victor Clément ,1,0
Matias Bjorling ,1,0
Aaron Young ,4,0
Cyan Ogilvie ,1,0
ludovic.desroches@atmel.com ,12,2209189
Keith Mok ,1,0
Richard Pospesel ,1,0
Ivan Delalande ,1,0
Rob Landley ,1,0
Dave Young ,4,5445211
YiPing Xu ,1,0
Igor Redko ,2,0
Joshua Hunt ,1,0
Nate Dailey ,1,0
Piet Delaney ,1,0
Alex Estrin ,2,2937720
Kaike Wan ,12,1570161
Brent Taylor ,2,24374517
Philip Elcan ,1,0
Nicolas Boichat ,23,1190243
Mihai Mihalache ,1,0
Nathan Schulte ,1,0
Slava Bacherikov ,1,0
Stanislav Kinsburskiy ,2,5759979
Geyslan G. Bem ,46,196439
San Mehat ,1,0
Jiufei Xue ,1,0
Lada Trimasova ,4,1324037
Yaniv Gardi ,50,504657
Bryn M. Reeves ,1,0
Michael Büsch ,9,592529
Soren Brinkmann ,21,982031
Robert Doebbelin ,1,0
Hans-Christian Egtvedt ,3,11381269
Aaron Plattner ,3,10237998
liping.zhang ,1,0
Xia Yang ,1,0
Martin Peres ,9,1423433
Varad Gautam ,1,0
vikram.jadhav07 ,1,0
Hubert Chrzaniuk ,4,4870894
"Chrzaniuk, Hubert ",1,0
Krzysztof Halasa ,1,0
James Johnston ,1,0
Isaac Huang ,2,15440274
G Pooja Shamili ,3,148
Derek Yerger ,1,0
Sandeep Jain ,1,0
Janani Ravichandran ,71,38490
Georgiana Chelu ,1,0
EunTaik Lee ,2,1878512
Shraddha Barke ,215,91395
Tapan Prakash T ,5,218372
Matthew Dawson ,3,2002215
Zvi Nachmani ,1,0
Scott Lawson ,1,0
Pingchao Yang ,9,2570393
Hector Marco-Gisbert ,1,0
Sheng Yang ,8,1268634
Jenny Derzhavetz ,18,901063
Quinn Tran ,16,1326837
Malcolm Priestley ,105,262120
Vennila Megavannan ,9,1465810
Hari Prasath Gujulan Elango ,45,542447
Sadanand Warrier ,1,0
Bryan Morgan ,1,0
Jim Snow ,5,2130181
Edward Mascarenhas ,2,2760521
Josh Hunt ,2,51
DingXiang ,1,0
Rajesh Borundia ,3,8855842
Xiangliang Yu ,4,2915466
"Wiebe, Wladislav (Nokia - DE/Ulm) ",1,0
"Luck, Tony ",3,10333838
Quan Nguyen ,4,582998
Eliad Peller ,44,635119
OGAWA Hirofumi ,3,4760096
Geoffrey Thomas ,1,0
Harb Abdulhamid ,1,0
Zhiyi Sun ,1,0
Philippe Loctaux ,2,343988
Kaiyen Chang ,1,0
Xuelin Shi ,2,35936
Saurabh Sengar ,24,492051
Huiquan Zhong ,1,0
Robin H. Johnson ,1,0
Chen Fan ,1,0
Bogicevic Sasa ,9,1424031
Kyeong Yoo ,1,0
Kostenzer Felix ,1,0
Luca Abeni ,10,2824304
Martin Koegler ,1,0
Grzegorz Bajorski ,2,1128095
Henry Paulissen ,2,109
Julien Grossholtz ,5,1186654
Phil Elwell ,1,0
Youngmin Nam ,2,1830324
Wilson Ding ,1,0
Miodrag Dinic ,2,3342998
Matwey V. Kornilov ,8,3320310
yankejian ,8,1793246
Guo-Fu Tseng ,2,0
Krzysztof =?utf-8?Q?Ha=C5=82asa?= ,2,20483697
Yao Yuan ,8,2625197
Bill Sommerfeld ,1,0
Ujjal Roy ,3,65
Anthony Wong ,1,0
One Thousand Gnomes ,3,2645262
Dedy Lansky ,2,18500409
Hamad Kadmany ,6,4698771
Torsten Duwe ,4,0
Bernhard Walle ,3,1002968
Atsushi Nemoto ,3,8001285
Rasmus Linusson ,2,0
Reilly Grant ,1,0
Grégor Boirie ,3,421207
Joseph McNally ,1,0
Sanchayan Maity ,15,1412418
Matthieu Rogez ,3,76866
Wang Dongsheng ,6,3459688
Huibin Hong ,1,0
Dudley Du ,11,1942189
Milosz Tanski ,1,0
Eric Laurent ,1,0
Antti Seppälä ,5,6368183
Haosdent Huang ,1,0
Thomas Klausner ,1,0
Vinayak Menon ,1,0
Christopher S. Hall ,8,10970
Nimrod Andy ,3,10987351
Michael Mogenson ,2,0
Dmitriy Baranov ,1,0
Loc Ho ,20,1270622
Hal Rosenstock ,5,5033606
RitwikGopi ,1,0
Jemma Denson ,29,894590
Craig Stout ,4,0
Asai Thambi SP ,17,1409790
Manisha Agrawal ,3,0
Chaos.Chen ,1,0
Yu Ning ,2,2956860
GEORGE ,1,0
Philippe Valembois ,2,36
Marc-Antoine Perennou ,1,0
Aviv Greenberg ,2,7848696
Simon South ,1,0
Todd E Brandt ,2,23072619
Jeremy Filizetti ,1,0
Frank Zago ,10,1626379
Alyona Romanenko ,1,0
Olaf Weber ,2,14637414
Giuseppe Cavallaro ,15,1481125
Fabrice Gasnier ,3,0
Avinash Repaka ,1,0
Chunhao Lin ,1,0
Jason Hu ,2,2887464
Timo Teräs ,4,6847739
Liu Xue ,2,18152235
Alexander Gordeev ,11,1993581
Ben Chen ,1,0
Timothy Pearson ,1,0
Tony Cho ,121,155727
M. Vefa Bicakci ,2,0
Dan Bogdan Nechita ,1,0
Michael Hennerich ,3,5551971
David Windsor ,1,0
David Gibson ,8,3314523
Jeffrey Huang ,8,1443633
Haggai Eran ,32,767988
Meny Yossefi ,3,0
jubin.john@intel.com ,2,107
Mark F. Brown ,2,8865556
Wesley Post ,1,0
Rob Kramer ,1,0
Ivan T. Ivanov ,36,760437
Devesh Sharma ,16,1268790
Woojung.Huh@microchip.com ,20,968567
Insu Yun ,34,357782
Marina Varshaver ,2,0
Abhilash Jindal ,8,2455014
sixiao@microsoft.com ,5,6281390
Naga Venkata Sai Indubhaskar Jupudi ,1,0
Vittorio Alfieri ,1,0
Patrik Halfar ,2,508610
Kelly Zytaruk ,1,0
Sushaanth Srirangapathi ,1,0
Daniel Sanders ,2,21548048
Shinobu Uehara ,4,7431781
Linus Luessing ,5,294
Bai Ping ,14,1038809
Denis Carikli ,4,6312846
Frank Li ,39,679404
Yadan Fan ,1,0
Suresh E. Warrier ,2,0
Stafford Horne ,3,1319433
Avri Altman ,16,1586259
Eyal Shapira ,12,2390984
Marcus Meissner ,3,928295
Zain Wang ,6,1659313
Daniel Cashman ,6,756336
MINOURA Makoto / 箕浦 真 ,1,0
Krzysztof Adamski ,11,156346
David Lamparter ,1,0
Sebastian Parschauer ,1,0
Mehmet Kayaalp ,2,105
Andrew Pinski ,2,864114
Miles Chen ,1,0
Michel Thierry ,51,556745
benjamin.gaignard@linaro.org ,4,0
Maximilain Schneider ,1,0
Benjamin Romer ,21,1303227
Pascal Huerst ,6,5261844
Anton Bondarenko ,11,693423
Kevin Smith ,2,6
Varadarajan Narayanan ,2,805191
Jelle de Jong ,2,12910129
Gabor Juhos ,4,8476469
Darren Etheridge ,4,1
Thomas Betker ,3,9424003
Bruno Randolf ,3,1
David Henningsson ,19,1391379
Mike Krinkin ,5,4699203
Corinna Vinschen ,4,5271361
Roland Hii ,1,0
Takuma Ueba ,1,0
Raanan Avargil ,13,1461298
ajit.khaparde@broadcom.com ,2,0
Bradley Pankow ,1,0
David E. Box ,2,4704484
waddlesplash ,1,0
Sathya Prakash M R ,1,0
Henning Rogge ,3,0
Sunil Shahu ,6,4012999
Ola Olsson ,8,1393915
Jeremy Kerr ,8,3262479
Andreas Irestål ,5,402269
Sergei Ianovich ,1,0
Charles ,3,0
Suganath prabu Subramani ,12,0
Tomas Henzl ,10,2699597
Suganath Prabu Subramani ,1,0
Jose Castillo ,1,0
Harish Zunjarrao ,2,0
Bernie Harris ,2,2155512
Koen Zandberg ,1,0
J.J. Meijer ,1,0
ldewangan ,1,0
Clément Vuchener ,2,12592389
Takuya Yoshikawa ,19,624954
Benoit Parrot ,9,2385651
Simon Appleby ,1,0
Hou Pengyang ,5,6032975
Chris Park ,37,614764
Ray Bellis ,1,0
David Brown ,2,480676
Sai Praneeth ,6,2071488
Peter Korsgaard ,1,0
Ken Kawasaki ,2,453750
"Karicheri, Muralidharan ",13,1555028
Robert Shearman ,15,1246003
Gerhard Uttenthaler ,1,0
Victor Dodon ,1,0
Dave Penkler ,6,298413
Lisa Du ,1,0
Shaun Ren ,8,0
Hemmo Nieminen ,2,1106763
Andrew Bradford ,2,759775
Colin Vidal ,4,0
Thaissa Falbo ,6,3
Fu Yong Quah ,1,0
Shalin Mehta ,1,0
Eric Long ,2,0
Laurent FERT ,2,0
Lucas Tanure ,4,923686
Leif Liddy ,1,0
Simon Guinot ,17,1269077
Harald Hoyer ,1,0
Wouter van Kesteren ,1,0
Rainer Weikusat ,10,849337
Padmanabh Ratnakar ,6,4942246
Takashi Saito ,1,0
Wu-Cheng Li ,2,1
Pandi Kumar Maharajan ,1,0
John Underwood ,1,0
Gao Pan ,8,1458660
Josh Cartwright ,5,5967882
Felipe Franciosi ,1,0
David Wragg ,4,240144
Lior Amsalem ,7,3643727
Juerg Haefliger ,1,0
Uma Shankar ,1,0
Alexandra Yates ,10,1489652
Anatolij Gustschin ,1,0
Andrey Skvortsov ,3,12438726
Xu Jianqun ,1,0
Byongho Lee ,9,2082607
Ryo Kataoka ,4,8558913
Tom Rini ,1,0
Mahesh Khanwalkar ,1,0
"Lendacky, Thomas ",31,800761
Anjali Singhai ,5,3060390
"Tang, Jianqiang ",1,0
Pandi Maharajan ,1,0
"Keller, Jacob E ",3,0
Graeme Gregory ,3,11575487
Aditya Kali ,5,0
José Bollo ,2,11216591
Andrey Smetanin ,44,458195
Kevin Cernekee ,10,2766726
Jason Andryuk ,1,0
Kirill Tkhai ,3,6734624
Shota Suzuki ,3,7824863
Stephan Olbrich ,4,159266
Ben Widawsky ,9,3318086
Leslie Lau ,1,0
Manuel Pégourié-Gonnard ,6,768042
Bogdan Sikora ,1,0
Denis Kirjanov ,7,1956720
Jonathan Tinkham ,3,24
Tomás Tormo ,1,0
Joseph Bisch ,1,0
Rakhi Sharma ,3,296882
Niranjan Dighe ,5,5610413
Lijun Pan ,3,4757514
Sebastian Hesselbarth ,11,2464115
Michael McConville ,1,0
Pau Pajuel ,1,0
Harry Wentland ,7,1471868
Liguo Zhang ,4,3225234
Abhay Kumar ,1,0
Emil Goode ,1,0
Ryan Ware ,1,0
Riley Andrews ,1,0
Haneen Mohammed ,3,90520
Aybuke Ozdemir ,13,955857
Daniel Chromik ,1,0
Thanneeru Srinivasulu ,5,4242268
Suman Tripathi ,12,2175390
Tycho Andersen ,4,6072009
Louis Yu ,2,1442415
andrew-ct.chen@mediatek.com ,1,0
Bayi Cheng ,4,2637351
saurabh ,4,2275071
Daniele Ceraolo Spurio ,1,0
James Chao ,1,0
Eric Yang ,3,2202497
David Rokhvarg ,3,2202338
Peter Loeffler ,1,0
Chris Paterson ,1,0
Enrico Jorns ,2,11559298
David Jander ,5,6041241
Jean Sacren ,19,1354173
Gabriel Feceoru ,1,0
Jerry Snitselaar ,3,11804807
Codarren Velvindron ,1,0
Stephane Gasparini ,1,0
Feng Wu ,29,820614
Nathan Rossi ,1,0
Tiago Vignatti ,3,3470
Mario Lange ,1,0
Sandeep Pillai ,1,0
Addy Ke ,4,5065111
Boojin Kim ,1,0
Marc Andre ,2,94
Andreas Schwab ,3,5751060
Ariel D'Alessandro ,16,1546225
Matthias Lange ,1,0
Jiaxing Wang ,4,2807353
Kamal Mostafa ,4,2524518
Anjali Menon ,9,1599698
Saatvik Arya ,2,2336
Benoit Hiller ,1,0
SirnamSwetha ,4,163
Amadeusz Pawlik ,1,0
Christian Colic ,8,122067
Sean MacLennan ,1,0
Byeoungwook Kim ,1,0
Yannik Schmidt ,1,0
Gavin Thomas Claugus ,3,4920843
Mauro Dreissig ,1,0
Michael Hornung ,7,2753128
Daniil Leshchev ,1,0
Anatoly Stepanov ,12,1634495
Jiading Gai ,1,0
Alexey Mednyy ,2,0
Ben Gilbert ,1,0
Nizam Haider ,13,1969767
J. German Rivera ,36,325931
Gavin O'Leary ,4,2418076
Pranjal Bhor ,6,0
maomao xu ,1,0
Sergey Lysanov ,1,0
Alexey Tulia ,2,293
Chris Elliott ,1,0
Matej Vasek ,1,0
Othmar Pasteka ,2,6919162
Pablo G. Gallardo ,2,0
Spencer E. Olson ,9,21
Rohit kumar ,2,11116375
Bopamo Osaisai ,1,0
Rajmal Menariya ,1,0
Colin Cross ,3,11766213
Rom Lemarchand ,1,0
Hugo Camboulive ,6,2190286
Glen Lee ,236,54416
CHANG FU CHIAO ,2,17828384
Jakob Østergaard Jensen ,1,0
Herton R. Krzesinski ,6,4455303
Melchior FRANZ ,1,0
Aya Mahfouz ,12,653063
Anton Wuerfel ,13,0
Phillip Raffeck ,2,0
Paul Mcquade ,3,38
Jeremy McNicoll ,2,762587
Jeffy Chen ,9,641431
Jaeden Amero ,4,7025792
Frederik Völkel ,6,952291
Kevin Wern ,1,0
Swapnil Nagle ,2,17043896
"Gujulan Elango, Hari Prasath (H.) ",14,1875482
Nachiket Kukade ,2,11844528
tom.leiming@gmail.com ,4,1109217
Kim Jones ,1,0
"Wang, Rui Y ",7,1140134
Damien Horsley ,2,37
Marcin Ślusarz ,1,0
Vishnu Patekar ,12,1947601
Hersen Wu ,1,0
Michael Lange ,1,0
Manish Jaggi ,1,0
Zidan Wang ,34,700959
Carol L Soto ,9,2650014
Greg Bowers ,4,3406955
Sushuruth Sadagopan ,1,0
Jianqiang Tang ,1,0
Seth Jennings ,6,2279374
Robert Elliott ,22,1019017
Môshe van der Sterre ,1,0
Remi Pommarel ,4,1148866
Mark Kuo ,2,2
zengtao ,1,0
Max Stepanov ,1,0
Rodrigo Freire ,2,1521570
Hubert Tarasiuk ,1,0
Ernst Martin Witte ,5,33
Torbjörn Jansson ,1,0
Stefan Pöschel ,1,0
Andrei Koshkosh ,1,0
Mats Randgaard ,4,5727668
Jean-Baptiste Theou ,3,9374690
Nikola Forró ,2,11508651
"Wu, Xia ",1,0
wim.coekaerts@oracle.com ,1,0
Sandeep Tripathy ,1,0
Alexander Koch ,3,17
Ken-ichirou MATSUZAWA ,14,1058217
Jörg Thalheim ,1,0
Lev Lybin ,1,0
Jurgen Kramer ,5,3483072
ZhengShunQian ,9,1263749
W. Trevor King ,1,0
chunfan chen ,9,1823743
Uri Mashiach ,13,711230
Alex Bennée ,13,1626840
Francisco Jerez ,11,1968702
Jeff Becker ,3,6616150
Willy Tarreau ,2,798301
Ricardo Ruedas ,1,0
Daniel H. Hemmingsen ,2,3305665
Malcolm Crossley ,2,10566317
Damien.Horsley ,20,705733
Edwin Velds ,1,0
Thomas Abraham ,13,1595763
Peter Hung ,6,3066068
Jean-Christophe Dubois ,1,0
Gioh Kim ,3,8505038
Oreste Salerno ,4,1
Gautham R Shenoy ,1,0
Anders Roxell ,4,7295621
M'boumba Cedric Madianga ,5,1568033
Dmitry Lifshitz ,25,198150
Mohamed Jamsheeth Hajanajubudeen ,1,0
Andiii ,1,0
dcg ,1,0
Martin Wilck ,4,2247490
Markus Trippelsdorf ,3,1158
Alexander Tsoy ,1,0
Yanbo Li ,7,4206410
Anatoly Pugachev ,2,2
dann frazier ,2,19070043
Sachin Kulkarni ,1,0
Martin Michlmayr ,1,0
Guillaume Fougnies ,1,0
Paweł Jarosz ,3,104
Shikha Jain ,1,0
Danesh Petigara ,4,494252
Thomas Gardner ,1,0
Martin Roth ,2,3438866
Thomas Egerer ,2,14457847
Raphael Assenat ,2,23608738
Benjamin Larsson ,1,0
"Cabiddu, Giovanni ",1,0
"Atta, Ahsan ",1,0
Krzysztof Koz?owski ,2,0
Nicolas Sugino ,2,10519335
zhangqing ,7,141669
Patrick Boettcher ,9,2719116
Eduard Gavin ,1,0
Joseph Marrero ,2,4558787
John Ernberg ,1,0
Yoshihiko Mori ,1,0
Josh Wu ,34,677823
"Lad, Prabhakar ",7,3717248
Peter Dedecker ,1,0
Vasant Hegde ,5,3410281
Tim Gardner ,4,4994700
Jie Yang ,25,980505
Rahul Pathak ,3,1675888
Thorsten Leemhuis ,1,0
Hakjoo Kim ,2,6042132
Lukasz Duda ,2,14319768
Stuart Henderson ,2,3
Gavin Guo ,2,18273684
Tariq Saeed ,3,6007385
majd@mellanox.com ,10,0
Alan Modra ,1,0
Manfred Rudigier ,1,0
Bongkyu Kim ,1,0
Namjae Jeon ,5,4877313
Junil Lee ,1,0
Tim Sander ,1,0
Weng Xuetian ,1,0
Yevgeny Pats ,1,0
Matthew Garrett ,4,7401717
Vinit Agnihotri ,1,0
Dominik Dingel ,18,1054423
Raghavendra K T ,7,2032133
Scott Moreau ,2,0
huangdaode ,12,938670
Doron Tsur ,4,2707843
Vasily Kulikov ,3,5527450
Jianqun xu ,2,3862177
Martijn Coenen ,1,0
Jordan Hargrave ,2,11328904
Kyeongdon Kim ,1,0
Tsutomu Itoh ,2,11835535
Jiang Liu ,163,141847
Nathan Zimmer ,2,17097354
John Haxby ,2,9108232
Norton.Zhu ,3,5702584
Liu Jiang ,2,3781734
Arnd Hannemann ,1,0
Jamie Bainbridge ,1,0
Svetlin Ankov ,1,0
CQ Tang ,1,0
Ulrich Weigand ,2,84
Matti Vaittinen ,1,0
Javier Gonzalez ,3,2289238
yu-cheng yu ,4,0
